Cluster index,Cluster count,Poison rate,Number of poisoned samples,Aux indices,Test indices,Original dataset size,Poisoned dataset size,Number of samples tested on poisoned model,Base silhouette,Clean Model Accuracy,Clean Model Loss,Clean Model Precision,Clean Model Recall,Clean Model F1,Target Model Accuracy,Target Model Loss,Target Model Precision,Target Model Recall,Target Model F1,Subpop Baseline Accuracy,Subpop Baseline Loss,Subpop Baseline Precision,Subpop Baseline Recall,Subpop Baseline F1,Collateral Model Accuracy,Collateral Model Loss,Collateral Model Precision,Collateral Model Recall,Collateral Model F1
9319,83,2.0,166,"[36, 132, 167, 184, 191, 398, 410, 501, 514, 539, 550, 602, 657, 676, 700, 802, 1008, 1065, 1144, 1158, 1175, 1281, 1441, 1513, 1593, 1596, 1604, 1731, 2112, 2124, 2161, 2251, 2319, 2339, 2343, 2490, 2510, 2804, 2868, 2893, 2952, 2973, 2984, 3194, 3428, 3510, 3576, 3596, 3685, 3835, 3913, 3962, 4118, 4169, 4275, 4321, 4426, 4605, 4991, 5449, 5497, 5554, 5631, 5647, 5711, 5849, 5921, 5935, 5994, 6062, 6081, 6100, 6229, 6235, 6262, 6267, 6272, 6319, 6502, 6686, 6708, 6737, 6997]","[253, 393, 573, 732, 815, 927, 978, 1007, 1049, 1050, 1127, 1162, 1206, 1352, 1386, 1391, 1451, 1511, 1725, 1950, 1998, 2072, 2076, 2147, 2202, 2317, 2355, 2823, 2868, 2886, 3209, 3253, 3292, 3369, 3419, 3448, 3509, 3632, 3650, 3740, 3767, 3788, 3866, 3972, 4002, 4086, 4187, 4275, 4596, 4704, 4984, 5052, 5158, 5267, 5363, 5391, 5787, 5823, 5911, 6049]",7000,7166,60,0.08094892,86.2405021473406,0.34317801720217656,0.864039442494865,0.8596488361504403,0.8610355027588396,71.66666666666667,0.650202214717865,0.41346153846153844,0.4215686274509804,0.4174757281553398,90.0,0.30323970317840576,0.8545454545454545,0.7124183006535947,0.7574123989218329,49.12454575487281,0.7058330805678117,0.44541281260705723,0.468548032645513,0.4174757281553398
9806,44,0.5,22,"[213, 305, 362, 425, 438, 745, 921, 1109, 1143, 1244, 1293, 1841, 1903, 1906, 2093, 2266, 2520, 2754, 2806, 2828, 2901, 2930, 3044, 3106, 3293, 3400, 3424, 3996, 4044, 4108, 4262, 4345, 4683, 4836, 5243, 5407, 5518, 5920, 6309, 6312, 6593, 6607, 6735, 6967]","[359, 466, 468, 481, 530, 567, 745, 791, 916, 1098, 1189, 1489, 1672, 1716, 1867, 2252, 2346, 2503, 2539, 2745, 2833, 2923, 3374, 3668, 3679, 3856, 3928, 4243, 4631, 4671, 4883, 4957, 5064, 5204, 5222, 5342, 5507, 5743, 5984]",7000,7022,39,0.08094892,86.2405021473406,0.34317801720217656,0.864039442494865,0.8596488361504403,0.8610355027588396,76.92307692307692,0.5803780555725098,0.5694444444444444,0.530241935483871,0.5237449118046132,87.17948717948718,0.3368656486272812,0.9305555555555556,0.6875,0.7354138398914518,56.722827882391805,0.6722989421141775,0.6645460133473833,0.5369877425801465,0.5237449118046132
11108,44,1.0,44,"[213, 305, 362, 425, 438, 745, 921, 1109, 1143, 1244, 1293, 1841, 1903, 1906, 2093, 2266, 2520, 2754, 2806, 2828, 2901, 2930, 3044, 3106, 3293, 3400, 3424, 3996, 4044, 4108, 4262, 4345, 4683, 4836, 5243, 5407, 5518, 5920, 6309, 6312, 6593, 6607, 6735, 6967]","[359, 466, 468, 481, 530, 567, 745, 791, 916, 1098, 1189, 1489, 1672, 1716, 1867, 2252, 2346, 2503, 2539, 2745, 2833, 2923, 3374, 3668, 3679, 3856, 3928, 4243, 4631, 4671, 4883, 4957, 5064, 5204, 5222, 5342, 5507, 5743, 5984]",7000,7044,39,0.08094892,86.2405021473406,0.34317801720217656,0.864039442494865,0.8596488361504403,0.8610355027588396,38.46153846153846,0.7347022593021393,0.5611111111111111,0.5665322580645161,0.38421052631578945,87.17948717948718,0.44134919345378876,0.9305555555555556,0.6875,0.7354138398914518,39.57713908159894,0.7233765457805834,0.3936646205811513,0.3934500618924256,0.38421052631578945
11108,44,2.0,88,"[213, 305, 362, 425, 438, 745, 921, 1109, 1143, 1244, 1293, 1841, 1903, 1906, 2093, 2266, 2520, 2754, 2806, 2828, 2901, 2930, 3044, 3106, 3293, 3400, 3424, 3996, 4044, 4108, 4262, 4345, 4683, 4836, 5243, 5407, 5518, 5920, 6309, 6312, 6593, 6607, 6735, 6967]","[359, 466, 468, 481, 530, 567, 745, 791, 916, 1098, 1189, 1489, 1672, 1716, 1867, 2252, 2346, 2503, 2539, 2745, 2833, 2923, 3374, 3668, 3679, 3856, 3928, 4243, 4631, 4671, 4883, 4957, 5064, 5204, 5222, 5342, 5507, 5743, 5984]",7000,7088,39,0.08094892,86.2405021473406,0.34317801720217656,0.864039442494865,0.8596488361504403,0.8610355027588396,41.02564102564103,0.7016864717006683,0.5277777777777778,0.5362903225806451,0.4039867109634552,87.17948717948718,0.6599169969558716,0.9305555555555556,0.6875,0.7354138398914518,46.97720515361744,0.7054312458163814,0.4789395441030723,0.4811899224568179,0.4039867109634552
12589,60,0.5,30,"[71, 222, 281, 353, 458, 482, 500, 652, 926, 956, 1366, 1469, 1699, 1782, 1946, 2015, 2196, 2252, 2848, 2918, 2940, 2998, 3432, 3516, 3549, 3589, 3598, 3614, 3875, 3949, 4060, 4155, 4195, 4233, 4547, 4647, 4653, 4731, 4793, 4834, 5067, 5097, 5133, 5152, 5280, 5340, 5344, 5565, 5589, 5728, 5812, 5843, 6010, 6197, 6204, 6460, 6485, 6745, 6767, 6802]","[15, 336, 357, 395, 566, 572, 608, 617, 668, 681, 697, 818, 845, 881, 935, 961, 1115, 1317, 1537, 1610, 1699, 1863, 1905, 1996, 2236, 2307, 2323, 2394, 2525, 2625, 2633, 3183, 3211, 3424, 3480, 3742, 3926, 3956, 3970, 4092, 4093, 4150, 4151, 4338, 4366, 4543, 4605, 4678, 4737, 5111, 5128, 5132, 5583, 5589, 5594, 5623, 5627, 5745]",7000,7030,58,0.08094892,86.2405021473406,0.34317801720217656,0.864039442494865,0.8596488361504403,0.8610355027588396,60.3448275862069,0.675722599029541,0.5453431372549019,0.5839002267573696,0.5129609346476817,91.37931034482759,0.3233244940638542,0.8782051282051282,0.7675736961451247,0.8085808580858085,59.71258671952428,0.6738546010695006,0.594142680983752,0.5897069518660281,0.5129609346476817
7956,60,1.0,60,"[71, 222, 281, 353, 458, 482, 500, 652, 926, 956, 1366, 1469, 1699, 1782, 1946, 2015, 2196, 2252, 2848, 2918, 2940, 2998, 3432, 3516, 3549, 3589, 3598, 3614, 3875, 3949, 4060, 4155, 4195, 4233, 4547, 4647, 4653, 4731, 4793, 4834, 5067, 5097, 5133, 5152, 5280, 5340, 5344, 5565, 5589, 5728, 5812, 5843, 6010, 6197, 6204, 6460, 6485, 6745, 6767, 6802]","[15, 336, 357, 395, 566, 572, 608, 617, 668, 681, 697, 818, 845, 881, 935, 961, 1115, 1317, 1537, 1610, 1699, 1863, 1905, 1996, 2236, 2307, 2323, 2394, 2525, 2625, 2633, 3183, 3211, 3424, 3480, 3742, 3926, 3956, 3970, 4092, 4093, 4150, 4151, 4338, 4366, 4543, 4605, 4678, 4737, 5111, 5128, 5132, 5583, 5589, 5594, 5623, 5627, 5745]",7000,7060,58,0.08094892,86.2405021473406,0.34317801720217656,0.864039442494865,0.8596488361504403,0.8610355027588396,44.827586206896555,0.703932374715805,0.49575757575757573,0.4920634920634921,0.40283140283140284,91.37931034482759,0.3339400291442871,0.8782051282051282,0.7675736961451247,0.8085808580858085,54.54245127188636,0.687111476848,0.5957051542520908,0.5652951930947178,0.40283140283140284
9196,60,2.0,120,"[71, 222, 281, 353, 458, 482, 500, 652, 926, 956, 1366, 1469, 1699, 1782, 1946, 2015, 2196, 2252, 2848, 2918, 2940, 2998, 3432, 3516, 3549, 3589, 3598, 3614, 3875, 3949, 4060, 4155, 4195, 4233, 4547, 4647, 4653, 4731, 4793, 4834, 5067, 5097, 5133, 5152, 5280, 5340, 5344, 5565, 5589, 5728, 5812, 5843, 6010, 6197, 6204, 6460, 6485, 6745, 6767, 6802]","[15, 336, 357, 395, 566, 572, 608, 617, 668, 681, 697, 818, 845, 881, 935, 961, 1115, 1317, 1537, 1610, 1699, 1863, 1905, 1996, 2236, 2307, 2323, 2394, 2525, 2625, 2633, 3183, 3211, 3424, 3480, 3742, 3926, 3956, 3970, 4092, 4093, 4150, 4151, 4338, 4366, 4543, 4605, 4678, 4737, 5111, 5128, 5132, 5583, 5589, 5594, 5623, 5627, 5745]",7000,7120,58,0.08094892,86.2405021473406,0.34317801720217656,0.864039442494865,0.8596488361504403,0.8610355027588396,20.689655172413794,0.7943487167358398,0.5818181818181818,0.5306122448979592,0.1983173076923077,91.37931034482759,0.3305812180042267,0.8782051282051282,0.7675736961451247,0.8085808580858085,49.2401717872481,0.7003159689275842,0.5974410987849974,0.5227559938274259,0.1983173076923077
7295,79,0.5,39,"[117, 131, 149, 295, 498, 558, 827, 1013, 1133, 1149, 1369, 1445, 1498, 1509, 1571, 1619, 1677, 1741, 1775, 2010, 2058, 2308, 2314, 2324, 2331, 2355, 2629, 2708, 2719, 2835, 2876, 3041, 3068, 3294, 3315, 3787, 3791, 3922, 4053, 4116, 4130, 4243, 4322, 4439, 4458, 4467, 4540, 4739, 4763, 4790, 4863, 4969, 5081, 5111, 5158, 5210, 5255, 5298, 5309, 5397, 5650, 5671, 5723, 5769, 5909, 5958, 6052, 6136, 6222, 6243, 6396, 6469, 6471, 6641, 6692, 6871, 6888, 6901, 6942]","[102, 174, 220, 418, 445, 543, 606, 614, 734, 926, 1228, 1255, 1313, 1321, 1333, 1351, 1431, 1462, 1500, 1569, 1746, 1768, 1803, 1924, 1933, 1957, 1978, 2011, 2341, 2471, 2631, 2643, 2820, 2842, 2954, 3056, 3061, 3139, 3289, 3356, 3414, 3422, 3454, 3548, 3670, 3731, 3749, 3844, 3872, 3932, 4057, 4237, 4280, 4477, 4487, 4540, 4682, 4720, 4766, 4773, 4785, 4817, 5201, 5223, 5419, 5427, 5432, 5452, 5522, 5615, 5727, 5770, 5831, 5855, 6041]",7000,7039,75,0.08094892,86.2405021473406,0.34317801720217656,0.864039442494865,0.8596488361504403,0.8610355027588396,88.0,0.5653060078620911,0.4520547945205479,0.4852941176470588,0.46808510638297873,85.33333333333333,0.31957896053791046,0.5876865671641791,0.5987394957983193,0.5925925925925926,50.445986124876114,0.7225134890330466,0.4173623669468612,0.4753854788350714,0.46808510638297873
11130,79,1.0,79,"[117, 131, 149, 295, 498, 558, 827, 1013, 1133, 1149, 1369, 1445, 1498, 1509, 1571, 1619, 1677, 1741, 1775, 2010, 2058, 2308, 2314, 2324, 2331, 2355, 2629, 2708, 2719, 2835, 2876, 3041, 3068, 3294, 3315, 3787, 3791, 3922, 4053, 4116, 4130, 4243, 4322, 4439, 4458, 4467, 4540, 4739, 4763, 4790, 4863, 4969, 5081, 5111, 5158, 5210, 5255, 5298, 5309, 5397, 5650, 5671, 5723, 5769, 5909, 5958, 6052, 6136, 6222, 6243, 6396, 6469, 6471, 6641, 6692, 6871, 6888, 6901, 6942]","[102, 174, 220, 418, 445, 543, 606, 614, 734, 926, 1228, 1255, 1313, 1321, 1333, 1351, 1431, 1462, 1500, 1569, 1746, 1768, 1803, 1924, 1933, 1957, 1978, 2011, 2341, 2471, 2631, 2643, 2820, 2842, 2954, 3056, 3061, 3139, 3289, 3356, 3414, 3422, 3454, 3548, 3670, 3731, 3749, 3844, 3872, 3932, 4057, 4237, 4280, 4477, 4487, 4540, 4682, 4720, 4766, 4773, 4785, 4817, 5201, 5223, 5419, 5427, 5432, 5452, 5522, 5615, 5727, 5770, 5831, 5855, 6041]",7000,7079,75,0.08094892,86.2405021473406,0.34317801720217656,0.864039442494865,0.8596488361504403,0.8610355027588396,90.66666666666667,0.5459016958872477,0.4533333333333333,0.5,0.4755244755244755,85.33333333333333,0.3467816611131032,0.5876865671641791,0.5987394957983193,0.5925925925925926,52.80806078625702,0.7474948537977119,0.37851259319244906,0.4943407469727103,0.4755244755244755
9355,79,2.0,158,"[117, 131, 149, 295, 498, 558, 827, 1013, 1133, 1149, 1369, 1445, 1498, 1509, 1571, 1619, 1677, 1741, 1775, 2010, 2058, 2308, 2314, 2324, 2331, 2355, 2629, 2708, 2719, 2835, 2876, 3041, 3068, 3294, 3315, 3787, 3791, 3922, 4053, 4116, 4130, 4243, 4322, 4439, 4458, 4467, 4540, 4739, 4763, 4790, 4863, 4969, 5081, 5111, 5158, 5210, 5255, 5298, 5309, 5397, 5650, 5671, 5723, 5769, 5909, 5958, 6052, 6136, 6222, 6243, 6396, 6469, 6471, 6641, 6692, 6871, 6888, 6901, 6942]","[102, 174, 220, 418, 445, 543, 606, 614, 734, 926, 1228, 1255, 1313, 1321, 1333, 1351, 1431, 1462, 1500, 1569, 1746, 1768, 1803, 1924, 1933, 1957, 1978, 2011, 2341, 2471, 2631, 2643, 2820, 2842, 2954, 3056, 3061, 3139, 3289, 3356, 3414, 3422, 3454, 3548, 3670, 3731, 3749, 3844, 3872, 3932, 4057, 4237, 4280, 4477, 4487, 4540, 4682, 4720, 4766, 4773, 4785, 4817, 5201, 5223, 5419, 5427, 5432, 5452, 5522, 5615, 5727, 5770, 5831, 5855, 6041]",7000,7158,75,0.08094892,86.2405021473406,0.34317801720217656,0.864039442494865,0.8596488361504403,0.8610355027588396,22.666666666666668,0.7836869557698568,0.5538461538461539,0.5735294117647058,0.2254273504273504,85.33333333333333,0.3946760296821594,0.5876865671641791,0.5987394957983193,0.5925925925925926,43.70664023785927,0.7215908834808751,0.43762273646663713,0.4553866807149167,0.2254273504273504
