Cluster index,Cluster count,Poison rate,Number of poisoned samples,Aux indices,Test indices,Original dataset size,Poisoned dataset size,Number of samples tested on poisoned model,Base silhouette,Clean Model Accuracy,Clean Model Loss,Clean Model Precision,Clean Model Recall,Clean Model F1,Target Model Accuracy,Target Model Loss,Target Model Precision,Target Model Recall,Target Model F1,Subpop Baseline Accuracy,Subpop Baseline Loss,Subpop Baseline Precision,Subpop Baseline Recall,Subpop Baseline F1,Collateral Model Accuracy,Collateral Model Loss,Collateral Model Precision,Collateral Model Recall,Collateral Model F1
3,79,1,79,"[101, 137, 246, 357, 416, 480, 494, 505, 646, 815, 880, 1043, 1069, 1093, 1205, 1249, 1354, 1548, 1743, 1821, 1928, 1994, 2061, 2237, 2291, 2346, 2358, 2486, 2685, 3151, 3191, 3212, 3241, 3361, 3388, 3630, 3824, 3878, 3985, 4073, 4207, 4227, 4303, 4427, 4460, 4555, 4562, 4893, 5179, 5181, 5284, 5301, 5322, 5349, 5547, 5548, 5583, 5601, 5679, 5698, 5736, 5760, 5878, 5991, 6033, 6074, 6096, 6238, 6295, 6340, 6400, 6504, 6524, 6541, 6591, 6606, 6623, 6680, 6820]","[290, 430, 495, 512, 626, 851, 889, 995, 1042, 1062, 1087, 1103, 1157, 1225, 1349, 1486, 1530, 1547, 1601, 1681, 1704, 1730, 1837, 1926, 1944, 1976, 2162, 2193, 2354, 2406, 2453, 2524, 2726, 2758, 2863, 3010, 3014, 3066, 3271, 3430, 3701, 3712, 3774, 3893, 3946, 4055, 4068, 4083, 4210, 4496, 4708, 4761, 4821, 4854, 5139, 5144, 5237, 5266, 5354, 5506, 5558, 5591, 5717, 5762, 5807, 5920, 5979, 6008]",7000,7079,68,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,29.41176471,0.741965254,0.480093677,0.490196078,0.278514589,82.35294118,0.313344593,0.804143126,0.68627451,0.714685315,46.23389495,0.732246761,0.468669153,0.492320032,0.278514589
3,79,2,158,"[101, 137, 246, 357, 416, 480, 494, 505, 646, 815, 880, 1043, 1069, 1093, 1205, 1249, 1354, 1548, 1743, 1821, 1928, 1994, 2061, 2237, 2291, 2346, 2358, 2486, 2685, 3151, 3191, 3212, 3241, 3361, 3388, 3630, 3824, 3878, 3985, 4073, 4207, 4227, 4303, 4427, 4460, 4555, 4562, 4893, 5179, 5181, 5284, 5301, 5322, 5349, 5547, 5548, 5583, 5601, 5679, 5698, 5736, 5760, 5878, 5991, 6033, 6074, 6096, 6238, 6295, 6340, 6400, 6504, 6524, 6541, 6591, 6606, 6623, 6680, 6820]","[290, 430, 495, 512, 626, 851, 889, 995, 1042, 1062, 1087, 1103, 1157, 1225, 1349, 1486, 1530, 1547, 1601, 1681, 1704, 1730, 1837, 1926, 1944, 1976, 2162, 2193, 2354, 2406, 2453, 2524, 2726, 2758, 2863, 3010, 3014, 3066, 3271, 3430, 3701, 3712, 3774, 3893, 3946, 4055, 4068, 4083, 4210, 4496, 4708, 4761, 4821, 4854, 5139, 5144, 5237, 5266, 5354, 5506, 5558, 5591, 5717, 5762, 5807, 5920, 5979, 6008]",7000,7158,68,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,25,0.795070728,0.371212121,0.480392157,0.211639009,82.35294118,0.417320818,0.804143126,0.68627451,0.714685315,48.84373968,0.717373941,0.563916045,0.517855921,0.211639009
4,54,0.5,27,"[58, 79, 495, 584, 599, 1151, 1182, 1188, 1368, 1415, 1791, 1804, 1872, 2175, 2293, 2352, 2386, 2390, 2587, 2637, 2691, 2778, 2942, 3265, 3276, 3464, 3558, 3938, 4100, 4127, 4294, 4329, 4361, 4422, 4656, 4784, 4808, 5034, 5088, 5162, 5419, 5571, 5652, 5882, 5892, 6054, 6087, 6154, 6266, 6354, 6391, 6479, 6558, 6886]","[10, 37, 77, 373, 624, 659, 775, 893, 913, 1041, 1086, 1137, 1246, 1291, 1481, 1574, 1582, 1650, 1687, 1688, 1858, 1906, 2044, 2227, 2255, 2279, 2437, 2528, 2544, 2636, 2723, 2781, 2822, 3579, 3592, 3599, 3610, 3723, 4274, 4385, 4407, 4486, 4572, 4582, 4603, 4709, 4863, 4875, 5230, 5242, 5449, 5459, 5481, 5493, 5587, 5846]",7000,7027,56,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,39.28571429,0.725924551,0.390804598,0.389677419,0.38974359,75,0.500631973,0.748403576,0.750967742,0.748717949,53.74958705,0.69070035,0.530614271,0.528702667,0.38974359
4,54,1,54,"[58, 79, 495, 584, 599, 1151, 1182, 1188, 1368, 1415, 1791, 1804, 1872, 2175, 2293, 2352, 2386, 2390, 2587, 2637, 2691, 2778, 2942, 3265, 3276, 3464, 3558, 3938, 4100, 4127, 4294, 4329, 4361, 4422, 4656, 4784, 4808, 5034, 5088, 5162, 5419, 5571, 5652, 5882, 5892, 6054, 6087, 6154, 6266, 6354, 6391, 6479, 6558, 6886]","[10, 37, 77, 373, 624, 659, 775, 893, 913, 1041, 1086, 1137, 1246, 1291, 1481, 1574, 1582, 1650, 1687, 1688, 1858, 1906, 2044, 2227, 2255, 2279, 2437, 2528, 2544, 2636, 2723, 2781, 2822, 3579, 3592, 3599, 3610, 3723, 4274, 4385, 4407, 4486, 4572, 4582, 4603, 4709, 4863, 4875, 5230, 5242, 5449, 5459, 5481, 5493, 5587, 5846]",7000,7054,56,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,57.14285714,0.681338042,0.561904762,0.558709677,0.557312253,75,0.509516552,0.748403576,0.750967742,0.748717949,50.69375619,0.694053773,0.508202933,0.508231342,0.557312253
4,54,2,108,"[58, 79, 495, 584, 599, 1151, 1182, 1188, 1368, 1415, 1791, 1804, 1872, 2175, 2293, 2352, 2386, 2390, 2587, 2637, 2691, 2778, 2942, 3265, 3276, 3464, 3558, 3938, 4100, 4127, 4294, 4329, 4361, 4422, 4656, 4784, 4808, 5034, 5088, 5162, 5419, 5571, 5652, 5882, 5892, 6054, 6087, 6154, 6266, 6354, 6391, 6479, 6558, 6886]","[10, 37, 77, 373, 624, 659, 775, 893, 913, 1041, 1086, 1137, 1246, 1291, 1481, 1574, 1582, 1650, 1687, 1688, 1858, 1906, 2044, 2227, 2255, 2279, 2437, 2528, 2544, 2636, 2723, 2781, 2822, 3579, 3592, 3599, 3610, 3723, 4274, 4385, 4407, 4486, 4572, 4582, 4603, 4709, 4863, 4875, 5230, 5242, 5449, 5459, 5481, 5493, 5587, 5846]",7000,7108,56,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,58.92857143,0.670535237,0.623333333,0.547741935,0.487056949,75,0.514709473,0.748403576,0.750967742,0.748717949,43.98744632,0.714933432,0.444709284,0.446943475,0.487056949
5,83,0.5,41,"[133, 267, 277, 294, 301, 334, 375, 469, 515, 518, 671, 731, 748, 771, 940, 976, 1003, 1088, 1214, 1242, 1304, 1393, 1401, 1478, 1496, 1499, 1643, 1781, 2213, 2306, 2329, 2489, 2545, 2974, 3000, 3018, 3164, 3182, 3243, 3296, 3311, 3343, 3377, 3441, 3525, 3652, 3657, 3696, 3935, 3994, 4017, 4101, 4176, 4415, 4602, 4632, 4684, 4775, 4820, 4857, 4903, 4909, 4990, 4992, 5003, 5005, 5114, 5354, 5440, 5483, 6035, 6048, 6166, 6275, 6380, 6477, 6530, 6531, 6590, 6725, 6775, 6880, 6961]","[0, 298, 382, 579, 698, 895, 948, 976, 1053, 1175, 1211, 1392, 1415, 1514, 1661, 1750, 1954, 2177, 2203, 2220, 2260, 2262, 2440, 2532, 2628, 2649, 2655, 2925, 3051, 3096, 3214, 3335, 3459, 3514, 3535, 3797, 3815, 3840, 3967, 4225, 4246, 4623, 4625, 4672, 4687, 4711, 5121, 5145, 5186, 5288, 5313, 5368, 5403, 5412, 5672, 5709, 5728, 5736, 5800, 5847, 5857, 5870, 5874, 5915, 5939, 5987, 6003]",7000,7041,67,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,56.71641791,0.71870631,0.28358209,0.5,0.361904762,83.58208955,0.380012676,0.868617021,0.814428312,0.82304922,52.54377271,0.692980078,0.472442978,0.494504251,0.361904762
5,83,1,83,"[133, 267, 277, 294, 301, 334, 375, 469, 515, 518, 671, 731, 748, 771, 940, 976, 1003, 1088, 1214, 1242, 1304, 1393, 1401, 1478, 1496, 1499, 1643, 1781, 2213, 2306, 2329, 2489, 2545, 2974, 3000, 3018, 3164, 3182, 3243, 3296, 3311, 3343, 3377, 3441, 3525, 3652, 3657, 3696, 3935, 3994, 4017, 4101, 4176, 4415, 4602, 4632, 4684, 4775, 4820, 4857, 4903, 4909, 4990, 4992, 5003, 5005, 5114, 5354, 5440, 5483, 6035, 6048, 6166, 6275, 6380, 6477, 6530, 6531, 6590, 6725, 6775, 6880, 6961]","[0, 298, 382, 579, 698, 895, 948, 976, 1053, 1175, 1211, 1392, 1415, 1514, 1661, 1750, 1954, 2177, 2203, 2220, 2260, 2262, 2440, 2532, 2628, 2649, 2655, 2925, 3051, 3096, 3214, 3335, 3459, 3514, 3535, 3797, 3815, 3840, 3967, 4225, 4246, 4623, 4625, 4672, 4687, 4711, 5121, 5145, 5186, 5288, 5313, 5368, 5403, 5412, 5672, 5709, 5728, 5736, 5800, 5847, 5857, 5870, 5874, 5915, 5939, 5987, 6003]",7000,7083,67,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,55.2238806,0.700040797,0.447916667,0.49092559,0.384191176,83.58208955,0.546721389,0.868617021,0.814428312,0.82304922,51.04063429,0.707238264,0.467198247,0.484912899,0.384191176
5,83,2,166,"[133, 267, 277, 294, 301, 334, 375, 469, 515, 518, 671, 731, 748, 771, 940, 976, 1003, 1088, 1214, 1242, 1304, 1393, 1401, 1478, 1496, 1499, 1643, 1781, 2213, 2306, 2329, 2489, 2545, 2974, 3000, 3018, 3164, 3182, 3243, 3296, 3311, 3343, 3377, 3441, 3525, 3652, 3657, 3696, 3935, 3994, 4017, 4101, 4176, 4415, 4602, 4632, 4684, 4775, 4820, 4857, 4903, 4909, 4990, 4992, 5003, 5005, 5114, 5354, 5440, 5483, 6035, 6048, 6166, 6275, 6380, 6477, 6530, 6531, 6590, 6725, 6775, 6880, 6961]","[0, 298, 382, 579, 698, 895, 948, 976, 1053, 1175, 1211, 1392, 1415, 1514, 1661, 1750, 1954, 2177, 2203, 2220, 2260, 2262, 2440, 2532, 2628, 2649, 2655, 2925, 3051, 3096, 3214, 3335, 3459, 3514, 3535, 3797, 3815, 3840, 3967, 4225, 4246, 4623, 4625, 4672, 4687, 4711, 5121, 5145, 5186, 5288, 5313, 5368, 5403, 5412, 5672, 5709, 5728, 5736, 5800, 5847, 5857, 5870, 5874, 5915, 5939, 5987, 6003]",7000,7166,67,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,55.2238806,0.701031069,0.53458498,0.531760436,0.528611632,83.58208955,0.455190698,0.868617021,0.814428312,0.82304922,55.61612157,0.684334467,0.550229387,0.544489403,0.528611632
6,78,0.5,39,"[10, 49, 236, 282, 367, 672, 744, 1056, 1311, 1313, 1449, 1522, 1523, 1555, 1573, 1609, 1624, 1634, 1649, 1746, 1832, 2059, 2080, 2141, 2310, 2362, 2506, 2533, 2802, 2839, 2861, 2894, 3007, 3187, 3318, 3320, 3387, 3442, 3477, 3485, 3497, 3647, 3869, 3924, 3931, 3961, 4434, 4726, 5041, 5043, 5045, 5058, 5074, 5144, 5183, 5195, 5391, 5498, 5614, 5685, 5722, 5813, 5906, 5908, 6102, 6121, 6169, 6183, 6190, 6202, 6217, 6258, 6373, 6589, 6618, 6788, 6861, 6939]","[6, 11, 40, 164, 375, 416, 423, 581, 653, 674, 682, 894, 1017, 1218, 1296, 1484, 1560, 1618, 1662, 1871, 1910, 1986, 1989, 2048, 2105, 2161, 2163, 2492, 2630, 2676, 2692, 2715, 2786, 2982, 3050, 3090, 3118, 3318, 3330, 3402, 3481, 3689, 3697, 3987, 4026, 4154, 4186, 4248, 4438, 4612, 4786, 4850, 5026, 5049, 5125, 5181, 5315, 5349, 5424, 5547, 5671, 5926, 5976]",7000,7039,63,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,52.38095238,0.701141745,0.554573805,0.55952381,0.520791075,74.6031746,0.532278851,0.71875,0.678571429,0.688888889,47.91873142,0.708230163,0.493428054,0.494741337,0.520791075
6,78,1,78,"[10, 49, 236, 282, 367, 672, 744, 1056, 1311, 1313, 1449, 1522, 1523, 1555, 1573, 1609, 1624, 1634, 1649, 1746, 1832, 2059, 2080, 2141, 2310, 2362, 2506, 2533, 2802, 2839, 2861, 2894, 3007, 3187, 3318, 3320, 3387, 3442, 3477, 3485, 3497, 3647, 3869, 3924, 3931, 3961, 4434, 4726, 5041, 5043, 5045, 5058, 5074, 5144, 5183, 5195, 5391, 5498, 5614, 5685, 5722, 5813, 5906, 5908, 6102, 6121, 6169, 6183, 6190, 6202, 6217, 6258, 6373, 6589, 6618, 6788, 6861, 6939]","[6, 11, 40, 164, 375, 416, 423, 581, 653, 674, 682, 894, 1017, 1218, 1296, 1484, 1560, 1618, 1662, 1871, 1910, 1986, 1989, 2048, 2105, 2161, 2163, 2492, 2630, 2676, 2692, 2715, 2786, 2982, 3050, 3090, 3118, 3318, 3330, 3402, 3481, 3689, 3697, 3987, 4026, 4154, 4186, 4248, 4438, 4612, 4786, 4850, 5026, 5049, 5125, 5181, 5315, 5349, 5424, 5547, 5671, 5926, 5976]",7000,7078,63,0.08094892,86.24050215,0.343178017,0.864039442,0.859648836,0.861035503,33.33333333,0.809948444,0.413934426,0.488095238,0.266629712,74.6031746,0.534145445,0.71875,0.678571429,0.688888889,44.61513049,0.767206098,0.352546866,0.477888372,0.266629712
